	OrganizationNode	BusinessEntityID	NationalIDNumber	LoginID	OrganizationLevel
98	/3/1/9/6/	99	431859843	adventure-works\nuan0	4.0
99	/3/1/9/7/	100	204035155	adventure-works\lolan0	4.0
100	/3/1/9/8/	101	153288994	adventure-works\houman0	4.0
101	/3/1/10/	102	360868122	adventure-works\zheng0	3.0
102	/3/1/10/1/	103	455563743	adventure-works\ebru0	4.0
103	/3/1/10/2/	104	717889520	adventure-works\mary1	4.0
104	/3/1/10/3/	105	801365500	adventure-works\kevin2	4.0
105	/3/1/10/4/	106	561196580	adventure-works\john4	4.0
106	/3/1/10/5/	107	393421437	adventure-works\christopher0	4.0
107	/3/1/11/	108	630184120	adventure-works\jinghao0	3.0
108	/3/1/11/1/	109	113695504	adventure-works\alice0	4.0
109	/3/1/11/2/	110	857651804	adventure-works\jun0	4.0
110	/3/1/11/3/	111	415823523	adventure-works\suroor0	4.0
111	/3/1/11/4/	112	981597097	adventure-works\john1	4.0
112	/3/1/11/5/	113	54759846	adventure-works\linda0	4.0
113	/3/1/11/6/	114	342607223	adventure-works\mindaugas0	4.0
114	/3/1/11/7/	115	563680513	adventure-works\angela0	4.0
115	/3/1/11/8/	116	398737566	adventure-works\michael2	4.0
116	/3/1/11/9/	117	599942664	adventure-works\chad0	4.0
117	/3/1/11/10/	118	222400012	adventure-works\don0	4.0
118	/3/1/11/11/	119	334834274	adventure-works\michael4	4.0
119	/3/1/11/12/	120	211789056	adventure-works\kitti0	4.0
120	/3/1/12/	121	521265716	adventure-works\pilar0	3.0
121	/3/1/12/1/	122	586486572	adventure-works\susan0	4.0
122	/3/1/12/2/	123	337752649	adventure-works\vamsi0	4.0
123	/3/1/12/3/	124	420776180	adventure-works\kim0	4.0
124	/3/1/12/4/	125	584205124	adventure-works\matthias0	4.0
125	/3/1/12/5/	126	652779496	adventure-works\jimmy0	4.0
126	/3/1/13/	127	750905084	adventure-works\david4	3.0
127	/3/1/13/1/	128	384162788	adventure-works\paul0	4.0
128	/3/1/13/2/	129	502058701	adventure-works\gary0	4.0
129	/3/1/13/3/	130	578953538	adventure-works\rob1	4.0
130	/3/1/13/4/	131	273260055	adventure-works\baris0	4.0
131	/3/1/13/5/	132	1300049	adventure-works\nicole0	4.0
132	/3/1/13/6/	133	830150469	adventure-works\michael1	4.0
133	/3/1/14/	134	45615666	adventure-works\eric0	3.0
134	/3/1/14/1/	135	964089218	adventure-works\ivo0	4.0
135	/3/1/14/2/	136	701156975	adventure-works\sylvester0	4.0
136	/3/1/14/3/	137	63761469	adventure-works\anibal0	4.0
137	/3/1/14/4/	138	25011600	adventure-works\samantha0	4.0
138	/3/1/14/5/	139	113393530	adventure-works\hung-fu0	4.0
139	/3/1/14/6/	140	339233463	adventure-works\prasanna0	4.0
140	/3/1/14/7/	141	872923042	adventure-works\min0	4.0
141	/3/1/14/8/	142	163347032	adventure-works\olinda0	4.0
142	/3/1/14/9/	143	56772045	adventure-works\krishna0	4.0
143	/3/1/14/10/	144	886023130	adventure-works\paul1	4.0
144	/3/1/15/	145	386315192	adventure-works\cynthia0	3.0
145	/3/1/15/1/	146	160739235	adventure-works\jianshuo0	4.0
146	/3/1/15/2/	147	604664374	adventure-works\sandra0	4.0
147	/3/1/15/3/	148	733022683	adventure-works\jason0	4.0
148	/3/1/15/4/	149	764853868	adventure-works\andy0	4.0
149	/3/1/15/5/	150	878395493	adventure-works\michael5	4.0
150	/3/1/15/6/	151	993310268	adventure-works\rostislav0	4.0
151	/3/1/16/	152	319472946	adventure-works\yuhong0	3.0
152	/3/1/16/1/	153	568596888	adventure-works\hanying0	4.0
153	/3/1/16/2/	154	97728960	adventure-works\raymond0	4.0
154	/3/1/16/3/	155	212801092	adventure-works\fadi0	4.0
155	/3/1/16/4/	156	322160340	adventure-works\lane0	4.0
156	/3/1/16/5/	157	812797414	adventure-works\linda1	4.0
157	/3/1/16/6/	158	300946911	adventure-works\shelley0	4.0
158	/3/1/16/7/	159	404159499	adventure-works\terrence0	4.0
159	/3/1/17/	160	712885347	adventure-works\jeff0	3.0
160	/3/1/17/1/	161	275962311	adventure-works\kirk0	4.0
161	/3/1/17/2/	162	514829225	adventure-works\laura0	4.0
162	/3/1/17/3/	163	377784364	adventure-works\alex0	4.0
163	/3/1/17/4/	164	65848458	adventure-works\andrew1	4.0
164	/3/1/17/5/	165	539490372	adventure-works\chris0	4.0
165	/3/1/18/	166	60114406	adventure-works\jack0	3.0
166	/3/1/18/1/	167	498138869	adventure-works\david1	4.0
167	/3/1/18/2/	168	271438431	adventure-works\garrett0	4.0
168	/3/1/18/3/	169	351069889	adventure-works\susan1	4.0
169	/3/1/18/4/	170	476115505	adventure-works\george0	4.0
170	/3/1/18/5/	171	746373306	adventure-works\david3	4.0
171	/3/1/18/6/	172	364818297	adventure-works\marc0	4.0
172	/3/1/18/7/	173	87268837	adventure-works\eugene0	4.0
173	/3/1/18/8/	174	585408256	adventure-works\benjamin0	4.0
174	/3/1/18/9/	175	259388196	adventure-works\reed0	4.0
175	/3/1/18/10/	176	860123571	adventure-works\david7	4.0
176	/3/1/18/11/	177	551346974	adventure-works\russell1	4.0
177	/3/1/18/12/	178	568626529	adventure-works\john3	4.0
178	/3/1/18/13/	179	587567941	adventure-works\jan0	4.0
179	/3/1/19/	180	862951447	adventure-works\katie0	3.0
180	/3/1/19/1/	181	545337468	adventure-works\michael0	4.0
181	/3/1/19/2/	182	368920189	adventure-works\nitin0	4.0
182	/3/1/19/3/	183	969985265	adventure-works\barbara0	4.0
183	/3/1/19/4/	184	305522471	adventure-works\john2	4.0
184	/3/1/19/5/	185	621932914	adventure-works\stefen0	4.0
185	/3/1/20/	186	551834634	adventure-works\shane0	3.0
186	/3/1/20/1/	187	713403643	adventure-works\yvonne0	4.0
187	/3/1/20/2/	188	435234965	adventure-works\douglas0	4.0
188	/3/1/20/3/	189	187369436	adventure-works\janeth0	4.0
189	/3/1/20/4/	190	456839592	adventure-works\robert0	4.0
190	/3/1/20/5/	191	399658727	adventure-works\lionel0	4.0
191	/3/1/21/	192	634335025	adventure-works\brenda0	3.0
192	/3/1/21/1/	193	761597760	adventure-works\alejandro0	4.0
193	/3/1/21/2/	194	295971920	adventure-works\fred0	4.0
194	/3/1/21/3/	195	918737118	adventure-works\kevin1	4.0
195	/3/1/21/4/	196	370487086	adventure-works\shammi0	4.0
196	/3/1/21/5/	197	632092621	adventure-works\rajesh0	4.0
197	/3/1/21/6/	198	19312190	adventure-works\lorraine0	4.0
198	/3/1/21/7/	199	992874797	adventure-works\paula1	4.0
199	/3/1/21/8/	200	749211824	adventure-works\frank0	4.0
200	/3/1/21/9/	201	746201340	adventure-works\brian0	4.0
201	/3/1/21/10/	202	436757988	adventure-works\tawana0	4.0
202	/3/1/21/11/	203	693168613	adventure-works\ken1	4.0
203	/3/1/21/12/	204	440379437	adventure-works\gabe0	4.0
204	/3/1/22/	205	332349500	adventure-works\lori0	3.0
205	/3/1/22/1/	206	835460180	adventure-works\stuart0	4.0
206	/3/1/22/2/	207	687685941	adventure-works\greg0	4.0
207	/3/1/22/3/	208	199546871	adventure-works\scott0	4.0
208	/3/1/22/4/	209	167554340	adventure-works\kathie0	4.0
209	/3/1/22/5/	210	20244403	adventure-works\belinda0	4.0
210	/3/2/	211	398223854	adventure-works\hazem0	2.0
211	/3/2/1/	212	885055826	adventure-works\peng0	3.0
212	/3/2/1/1/	213	343861179	adventure-works\sootha0	4.0
213	/3/2/1/2/	214	131471224	adventure-works\andreas0	4.0
214	/3/2/1/3/	215	381772114	adventure-works\mark0	4.0
215	/3/2/1/4/	216	403414852	adventure-works\sean0	4.0
216	/3/2/2/	217	345106466	adventure-works\zainal0	3.0
217	/3/2/2/1/	218	540688287	adventure-works\tengiz0	4.0
218	/3/2/2/2/	219	242381745	adventure-works\sean1	4.0
219	/3/2/2/3/	220	260770918	adventure-works\karen0	4.0
220	/3/2/2/4/	221	260805477	adventure-works\chris1	4.0
221	/3/3/	222	685233686	adventure-works\ascott0	2.0
222	/3/3/1/	223	981495526	adventure-works\sairaj0	3.0
223	/3/3/2/	224	621209647	adventure-works\william0	3.0
224	/3/3/3/	225	470689086	adventure-works\alan0	3.0
225	/3/3/4/	226	368691270	adventure-works\brian1	3.0
226	/3/4/	227	141165819	adventure-works\gary1	2.0
227	/3/4/1/	228	553069203	adventure-works\christian0	3.0
228	/3/4/1/1/	229	879334904	adventure-works\lori1	4.0
229	/3/4/1/2/	230	28414965	adventure-works\stuart1	4.0
230	/3/4/1/3/	231	153479919	adventure-works\jo1	4.0
231	/3/4/1/4/	232	646304055	adventure-works\pat0	4.0
232	/3/4/2/	233	552560652	adventure-works\magnus0	3.0
233	/4/	234	184188301	adventure-works\laura1	1.0
234	/4/1/	235	535145551	adventure-works\paula0	2.0
235	/4/1/1/	236	476980013	adventure-works\grant0	3.0
236	/4/1/2/	237	416679555	adventure-works\hao0	3.0
237	/4/1/3/	238	264306399	adventure-works\vidur0	3.0
238	/4/1/4/	239	619308550	adventure-works\mindy0	3.0
239	/4/1/5/	240	332040978	adventure-works\willis0	3.0
240	/4/2/	241	30845	adventure-works\david6	2.0
241	/4/2/1/	242	363923697	adventure-works\deborah0	3.0
242	/4/2/2/	243	60517918	adventure-works\candy0	3.0
243	/4/2/3/	244	931190412	adventure-works\bryan1	3.0
244	/4/2/4/	245	363910111	adventure-works\barbara1	3.0
245	/4/2/5/	246	663843431	adventure-works\dragan0	3.0
246	/4/2/6/	247	519756660	adventure-works\janet0	3.0
247	/4/2/7/	248	480951955	adventure-works\mike0	3.0
248	/4/3/	249	121491555	adventure-works\wendy0	2.0
249	/4/3/1/	250	895209680	adventure-works\sheela0	3.0
250	/4/3/1/1/	251	603686790	adventure-works\mikael0	4.0
251	/4/3/1/2/	252	792847334	adventure-works\arvind0	4.0
252	/4/3/1/3/	253	407505660	adventure-works\linda2	4.0
253	/4/3/1/4/	254	482810518	adventure-works\fukiko0	4.0
254	/4/3/1/5/	255	466142721	adventure-works\gordon0	4.0
255	/4/3/1/6/	256	367453993	adventure-works\frank2	4.0
256	/4/3/1/7/	257	381073001	adventure-works\eric2	4.0
257	/4/3/1/8/	258	785853949	adventure-works\erin0	4.0
258	/4/3/1/9/	259	20269531	adventure-works\ben0	4.0
259	/4/3/1/10/	260	437296311	adventure-works\annette0	4.0
260	/4/3/1/11/	261	280633567	adventure-works\reinout0	4.0
261	/4/4/	262	231203233	adventure-works\david5	2.0
262	/5/	263	441044382	adventure-works\jean0	1.0
263	/5/1/	264	858323870	adventure-works\stephanie0	2.0
264	/5/1/1/	265	749389530	adventure-works\ashvini0	3.0
265	/5/1/2/	266	672243793	adventure-works\peter1	3.0
266	/5/2/	267	58317344	adventure-works\karen1	2.0
267	/5/3/	268	314747499	adventure-works\ramesh0	2.0
268	/5/4/	269	671089628	adventure-works\dan0	2.0
269	/5/5/	270	643805155	adventure-works\françois0	2.0
270	/5/6/	271	929666391	adventure-works\dan1	2.0
271	/5/7/	272	525932996	adventure-works\janaina0	2.0
272	/6/	273	112432117	adventure-works\brian3	1.0
273	/6/1/	274	502097814	adventure-works\stephen0	2.0
274	/6/1/1/	275	841560125	adventure-works\michael9	3.0
275	/6/1/2/	276	191644724	adventure-works\linda3	3.0
276	/6/1/3/	277	615389812	adventure-works\jillian0	3.0
277	/6/1/4/	278	234474252	adventure-works\garrett1	3.0
278	/6/1/5/	279	716374314	adventure-works\tsvi0	3.0
279	/6/1/6/	280	61161660	adventure-works\pamela0	3.0
280	/6/1/7/	281	139397894	adventure-works\shu0	3.0
281	/6/1/8/	282	399771412	adventure-works\josé1	3.0
282	/6/1/9/	283	987554265	adventure-works\david8	3.0
283	/6/1/10/	284	90836195	adventure-works\tete0	3.0
284	/6/2/	285	481044938	adventure-works\syed0	2.0
285	/6/2/1/	286	758596752	adventure-works\lynn0	3.0
286	/6/3/	287	982310417	adventure-works\amy0	2.0
287	/6/3/1/	288	954276278	adventure-works\rachel0	3.0
288	/6/3/2/	289	668991357	adventure-works\jae0	3.0
289	/6/3/3/	290	134219713	adventure-works\ranjit0	3.0
